#MaxThreads,#UE,AvUE/Thread,Execution Time,Registration Throughput(registrations/sec),Registration Latency (in sec),Setup Tunnel (Yes/No),DO Detach (Yes/No),Sending Data? (Yes/ No),Mean Data Sending Time,Sending Rate
1,1877,1877,120,15.641667,0.063712,Yes,Yes,No,0.010000,0M
10,18893,1889.3,120,157.441667,0.063207,Yes,Yes,No,0.010000,0M
20,33517,1675.85,120,279.308333,0.064493,Yes,Yes,No,0.010000,0M
30,52501,1750.03,120,437.508333,0.067041,Yes,Yes,No,0.010000,0M
40,62965,1574.13,120,524.708333,0.070321,Yes,Yes,No,0.010000,0M
50,73550,1471,120,612.916667,0.073549,Yes,Yes,No,0.010000,0M
60,84548,1409.13,120,704.566667,0.076958,Yes,Yes,No,0.010000,0M
70,96037,1371.96,120,800.308333,0.083334,Yes,Yes,No,0.010000,0M
80,105800,1322.5,120,881.666667,0.087255,Yes,Yes,No,0.010000,0M
90,110933,1232.59,120,924.441667,0.090686,Yes,Yes,No,0.010000,0M
100,117805,1178.05,120,981.708333,0.096090,Yes,Yes,No,0.010000,0M
120,129267,1077.23,120,1077.225000,0.107036,Yes,Yes,No,0.010000,0M
150,139609,930.73,120,1163.408333,0.119820,Yes,Yes,No,0.010000,0M
180,156107,867.26,120,1300.891667,0.132822,Yes,Yes,No,0.010000,0M
200,157803,789.02,120,1315.025000,0.143659,Yes,Yes,No,0.010000,0M
250,164732,658.93,120,1372.766667,0.174945,Yes,Yes,No,0.010000,0M
300,163332,544.44,120,1361.100000,0.213021,Yes,Yes,No,0.010000,0M
500,142908,285.82,120,1190.900000,0.365666,Yes,Yes,No,0.010000,0M
270,165553,613.16,120,1379.608333,0.181890,Yes,Yes,No,0.010000,0M
500,141296,282.59,120,1177.466667,0.400791,Yes,Yes,No,0.010000,0M
350,156078,445.94,120,1300.650000,0.258884,Yes,Yes,No,0.010000,0M
