#MaxThreads,#UE,AvUE/Thread,Execution Time,Registration Throughput(registrations/sec),Registration Latency (in sec),Setup Tunnel (Yes/No),DO Detach (Yes/No),Sending Data? (Yes/ No),Mean Data Sending Time,Sending Rate
1,1729,1729,120,14.408333,0.069026,Yes,Yes,No,0.010000,0M
10,17082,1708.2,120,142.350000,0.069763,Yes,Yes,No,0.010000,0M
50,57135,1142.7,120,476.125000,0.093197,Yes,Yes,No,0.010000,0M
100,73716,737.16,120,614.300000,0.152019,Yes,Yes,No,0.010000,0M
200,80505,402.53,120,670.875000,0.292061,Yes,Yes,No,0.010000,0M
500,89593,179.19,120,746.608333,0.655237,Yes,Yes,No,0.010000,0M
700,94528,135.04,120,787.733333,0.823770,Yes,Yes,No,0.010000,0M
900,88318,98.13,120,735.983333,0.848681,Yes,Yes,No,0.010000,0M
1000,45644,45.64,60,760.733333,1.166118,Yes,Yes,No,0.010000,0M
1000,43526,43.53,61,713.540984,1.177349,Yes,Yes,No,0.010000,0M
500,242871,485.74,300,809.570000,0.576238,Yes,Yes,No,0.010000,0M
500,93012,186.02,120,775.100000,0.634117,Yes,Yes,No,0.010000,0M
900,96902,107.67,120,807.516667,0.848827,Yes,Yes,No,0.010000,0M
1000,45237,45.24,60,753.950000,1.218252,Yes,Yes,No,0.010000,0M
200,76973,384.87,120,641.441667,0.301584,Yes,Yes,No,0.010000,0M
200,79074,395.37,120,658.950000,0.291448,Yes,Yes,No,0.010000,0M
300,0,0,120,0.000000,-nan,Yes,Yes,No,0.010000,0M
