#MaxThreads,#UE,AvUE/Thread,Execution Time,Registration Throughput(registrations/sec),Registration Latency (in sec),Setup Tunnel (Yes/No),DO Detach (Yes/No),Sending Data? (Yes/ No),Mean Data Sending Time,Sending Rate
1,60528,60528,300,201.760000,0.004952,Yes,Yes,No,10,100M
2,130380,65190,300,434.600000,0.004594,Yes,Yes,No,10,100M
3,99981,33327,300,333.270000,0.008562,Yes,Yes,No,10,100M
3,74742,24914,300,249.140000,0.006872,Yes,Yes,No,10,100M
3,126551,42183.7,300,421.836667,0.006851,Yes,Yes,No,10,100M
3,78385,26128.3,300,261.283333,0.007847,Yes,Yes,No,10,100M
3,113108,37702.7,300,377.026667,0.007950,Yes,Yes,No,10,100M
5,71009,14201.8,300,236.696667,0.009197,Yes,Yes,No,10,100M
10,17273,1727.3,300,57.576667,0.016973,Yes,Yes,No,10,100M
1,63737,63737,300,212.456667,0.004696,Yes,Yes,No,10,100M
5,126279,25255.8,300,420.930000,0.011397,Yes,Yes,No,10,100M
1,21,21,300,0.070000,13.232379,Yes,Yes,Yes,10,100M
