#MaxThreads,#UE,AvUE/Thread,Execution Time,Registration Throughput(registrations/sec),Registration Latency (in sec),Setup Tunnel (Yes/No),DO Detach (Yes/No),Sending Data? (Yes/ No),Mean Data Sending Time,Sending Rate
1,21,21,300,0.070000,13.185035,Yes,Yes,Yes,10,100M
10,275,27.5,300,0.916667,9.943817,Yes,Yes,Yes,10,100M
10,296,29.6,300,0.986667,9.870410,Yes,Yes,Yes,10,100M
20,487,24.35,300,1.623333,9.771315,Yes,Yes,Yes,10,100M
50,549,10.98,120,4.575000,9.237814,Yes,Yes,Yes,10,100M
50,531,10.62,120,4.425000,9.121906,Yes,Yes,Yes,10,1000M
10,98,9.8,120,0.816667,10.400087,Yes,Yes,Yes,10,10000M
10,5,0.5,120,0.041667,56.292732,Yes,Yes,Yes,100,10000M
10,620,62,120,5.166667,1.731802,Yes,Yes,Yes,1,10000M
10,518,51.8,120,4.316667,1.850245,Yes,Yes,Yes,1,100000M
10,423,42.3,120,3.525000,2.788101,Yes,Yes,Yes,2,100000M
1,1,1,120,0.008333,76.262428,Yes,Yes,Yes,100,100000M
1,37,37,120,0.308333,3.233378,Yes,No,Yes,2,100000M
1,37,37,120,0.308333,3.235209,Yes,No,Yes,2,1000M
1,62,62,120,0.516667,1.923115,Yes,Yes,Yes,1,1000M
10,564,56.4,120,4.700000,1.894219,Yes,Yes,Yes,1,1000M
20,970,48.5,120,8.083333,1.757097,Yes,Yes,Yes,1,1000M
1,0,0,120,0.000000,-nan,Yes,Yes,Yes,1,1000M

Time = 2min mean sending time=2
1,37,37,120,0.308333,3.240452,Yes,Yes,Yes,2,1000M
10,425,42.5,120,3.541667,2.777906,Yes,Yes,Yes,2,1000M
20,703,35.15,120,5.858333,2.794333,Yes,Yes,Yes,2,1000M
30,969,32.3,120,8.075000,2.840764,Yes,Yes,Yes,2,1000M
40,1353,33.83,120,11.275000,2.792296,Yes,Yes,Yes,2,1000M
50,1549,30.98,120,12.908333,2.821249,Yes,Yes,Yes,2,1000M
60,1727,28.78,120,14.391667,2.821876,Yes,Yes,Yes,2,1000M
70,1704,24.34,120,14.200000,2.844575,Yes,Yes,Yes,2,1000M
80,2199,27.49,120,18.325000,2.895302,Yes,Yes,Yes,2,1000M
100,2293,22.93,120,19.108333,2.987675,Yes,Yes,Yes,2,1000M
200,3152,15.76,120,26.266667,3.501452,Yes,Yes,Yes,2,1000M

Control
10,61839,6183.9,120,515.325000,0.019302,Yes,Yes,No,2,0M
50,103019,2060.38,120,858.491667,0.058104,Yes,Yes,No,2,0M
100,114229,1142.29,120,951.908333,0.104653,Yes,Yes,No,2,0M
500,106267,212.53,120,885.558333,0.562394,Yes,Yes,No,2,0M
200,118217,591.09,120,985.141667,0.202838,Yes,Yes,No,2,0M
300,109116,363.72,120,909.300000,0.327863,Yes,Yes,No,2,0M
500,104212,208.42,120,868.433333,0.554784,Yes,Yes,No,2,0M

Only Data
10,7,0.7,120,0.058333,46.133717,Yes,No,Yes,120,1000M
1,1,1,120,0.008333,91.258489,Yes,No,Yes,120,1000M
1,1,1,120,0.008333,91.264211,Yes,No,Yes,120,10000M
20,17,0.85,120,0.141667,49.798365,Yes,No,Yes,120,1000M
4,0,0,120,0.000000,-nan,Yes,No,Yes,2,1000M
1,8662,8662,60,144.366667,0.006828,Yes,Yes,No,0.001000,0M
5,21349,4269.8,60,355.816667,0.013876,Yes,Yes,No,0.001000,0M
1,5,5,120,0.041667,23.201427,Yes,Yes,Yes,22,1000M
10,38,3.8,120,0.316667,21.966291,Yes,Yes,Yes,22,1000M
20,96,4.8,120,0.800000,18.950295,Yes,Yes,Yes,22,1000M
30,161,5.37,120,1.341667,18.244129,Yes,Yes,Yes,22,1000M
40,209,5.23,120,1.741667,18.250777,Yes,Yes,Yes,22,1000M
1,5,5,120,0.041667,23.200306,Yes,Yes,Yes,22,24000M
2,13,6.5,120,0.108333,17.189021,Yes,Yes,Yes,22,12000M
3,14,4.67,120,0.116667,17.630612,Yes,Yes,Yes,22,12300M
5,20,4,120,0.166667,22.781908,Yes,Yes,Yes,22,12300M
4,16,4,120,0.133333,17.848275,Yes,Yes,Yes,22,12300M
3,14,4.67,120,0.116667,17.624172,Yes,Yes,Yes,22,12300M
