#MaxThreads,#UE,AvUE/Thread,Execution Time,Registration Throughput(registrations/sec),Registration Latency (in sec),Setup Tunnel (Yes/No),DO Detach (Yes/No),Sending Data? (Yes/ No),Mean Data Sending Time,Sending Rate
1,23099,23099,120,192.491667,0.005191,No,No,No,1,0M
10,155461,15546.1,120,1295.508333,0.006966,No,No,No,1,0M
50,289759,5795.18,120,2414.658333,0.018288,No,No,No,1,0M
100,294942,2949.42,120,2457.850000,0.038968,No,No,No,1,0M
150,299394,1995.96,120,2494.950000,0.054597,No,No,No,1,0M
200,294169,1470.85,120,2451.408333,0.065408,No,No,No,1,0M
250,300610,1202.44,120,2505.083333,0.063751,No,No,No,1,0M
250,300978,1203.91,120,2508.150000,0.062573,No,No,No,1,0M
250,303622,1214.49,120,2530.183333,0.062917,No,No,No,1,0M
500,300467,600.93,120,2503.891667,0.068699,No,No,No,1,0M
1000,287712,287.71,120,2397.600000,0.097941,No,No,No,1,0M
250,296776,1187.1,120,2473.133333,0.063370,No,No,No,1,0M
250,242329,969.32,120,2019.408333,0.114928,No,No,No,1,0M
250,250810,1003.24,120,2090.083333,0.113705,No,No,No,1,0M
250,254863,1019.45,120,2123.858333,0.112362,No,No,No,1,0M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,100M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,100M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,100M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,100M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,100M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,1000M
10,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,1000M
20,0,0,60,0.000000,-nan,Yes,Yes,Yes,1,1000M
1,0,0,60,0.000000,-nan,Yes,Yes,No,1,0M
1,7,7,60,0.116667,0.045665,Yes,Yes,No,1,0M
1,3,3,60,0.050000,0.182540,Yes,Yes,No,1,0M
1,11,11,60,0.183333,0.039167,Yes,Yes,No,1,0M
1,9,9,60,0.150000,0.049994,Yes,Yes,No,1,0M
1,9,9,60,0.150000,0.044905,Yes,Yes,No,1,0M
1,537,537,60,8.950000,0.110220,Yes,Yes,No,1,0M
1,545,545,60,9.083333,0.108793,Yes,Yes,No,1,0M
1,526,526,60,8.766667,0.113212,Yes,Yes,No,1,0M
1,547,547,60,9.116667,0.108413,Yes,Yes,No,1,0M
1,580,580,60,9.666667,0.103318,Yes,Yes,No,1,0M
1,281,281,30,9.366667,0.106422,Yes,Yes,No,1,0M
1,475,475,6,79.166667,0.010597,Yes,Yes,No,1,0M
1,723,723,6,120.500000,0.007282,Yes,Yes,No,1,0M
1,944,944,6,157.333333,0.005682,Yes,Yes,No,1,0M
1,756,756,6,126.000000,0.006740,Yes,Yes,No,1,0M
1,9603,9603,60,160.050000,0.006184,Yes,Yes,No,1,0M
1,10456,10456,60,174.266667,0.005737,No,No,No,1,0M
1,9323,9323,60,155.383333,0.006407,Yes,Yes,No,1,0M
